Data,Categoria,Moeda,Quantidade,Saldo
2020-12-31 11:36:39,Diferença de preço em ordem executada,BRL,0.00008303,0.00474132
2020-12-31 11:36:40,Criação de ordem,BRL,-130.00000000,0.00465829
2020-12-31 11:36:11,Diferença de preço em ordem executada,BRL,0.00000617,130.00465829
2020-12-31 11:36:11,Criação de ordem,BRL,-670.00000000,130.00465212
2020-12-31 11:30:19,Depósito,BRL,800.00000000,800.00465212
2020-12-21 17:20:02,Saque/Retirada,BRL,-102.86000000,0.00465212
2020-12-21 17:18:47,Execução de ordem,BRL,102.86310922,102.86465212
2020-12-17 09:26:09,Diferença de preço em ordem executada,BRL,0.00082150,0.00154290
2020-12-17 09:26:09,Criação de ordem,BRL,-400.00000000,0.00072140
2020-12-17 09:25:32,Depósito,BRL,400.00000000,400.00072140
2020-12-14 22:01:36,Diferença de preço em ordem executada,BRL,0.00070550,0.00072140
2020-12-14 22:01:37,Criação de ordem,BRL,-150.00000000,0.00001590
2020-12-14 22:01:19,Diferença de preço em ordem executada,BRL,0.00001590,150.00001590
2020-12-14 22:01:20,Criação de ordem,BRL,-250.00000000,150.00000000
2020-12-14 22:00:28,Criação de ordem,BRL,-100.00000000,400.00000000
2020-12-14 21:55:25,Depósito,BRL,500.00000000,500.00000000
